%
% Copyright (c) 1997-2009 Nokia Corporation and/or its subsidiary(-ies).
% All rights reserved.
% This component and the accompanying materials are made available
% under the terms of "Eclipse Public License v1.0"
% which accompanies this distribution, and is available
% at the URL "http://www.eclipse.org/legal/epl-v10.html".
%
% Initial Contributors:
% Nokia Corporation - initial contribution.
%
% Contributors:
%
% Description: 
895E ; [.4F7F.0000.0007.895E] % Ù≈
8963 ; [.4F80.0000.0007.8963] % “g
93CE ; [.4F81.0000.0007.93CE] % Á@
8E84 ; [.4F82.0000.0007.8E84] % ‹L
8D14 ; [.4F83.0000.0007.8D14] % ⁄F
9A46 ; [.4F84.0000.0007.9A46] % Úç
9DDD ; [.4F85.0000.0007.9DDD] % ˙z
9DE9 ; [.4F86.0000.0007.9DE9] % ˙á
9F0A ; [.4F87.0000.0007.9F0A] % ¸Ñ
618B ; [.4F88.0000.0007.618B] % ±Ô
9C49 ; [.4F89.0000.0007.9C49] % ˜M
864C ; [.4F8A.0000.0007.864C] % Ãã
5225 ; [.4F8B.0000.0007.5225] % Ñe
5487 ; [.4F8C.0000.0007.5487] % ÖÒ
5FB6 ; [.4F8D.0000.0007.5FB6] % è÷
8952 ; [.4F8E.0000.0007.8952] % “X
87DE ; [.4F8F.0000.0007.87DE] % œh
8E69 ; [.4F90.0000.0007.8E69] % ıø
86C2 ; [.4F91.0000.0007.86C2] % Õr
765F ; [.4F92.0000.0007.765F] % ∞T
5F46 ; [.4F93.0000.0007.5F46] % èï
7E2A ; [.4F94.0000.0007.7E2A] % øo
5F6A ; [.4F95.0000.0007.5F6A] % ±Î
9ADF ; [.4F96.0000.0007.9ADF] % ˜‘
730B ; [.4F97.0000.0007.730B] % ™Y
98A9 ; [.4F98.0000.0007.98A9] % ÔM
560C ; [.4F99.0000.0007.560C] % ‡—
5882 ; [.4F9A.0000.0007.5882] % âw
647D ; [.4F9B.0000.0007.647D] % ìø
6EEE ; [.4F9C.0000.0007.6EEE] % ú˝
8508 ; [.4F9D.0000.0007.8508] %  E
98AE ; [.4F9E.0000.0007.98AE] % ÔR
