%
% Copyright (c) 1997-2009 Nokia Corporation and/or its subsidiary(-ies).
% All rights reserved.
% This component and the accompanying materials are made available
% under the terms of "Eclipse Public License v1.0"
% which accompanies this distribution, and is available
% at the URL "http://www.eclipse.org/legal/epl-v10.html".
%
% Initial Contributors:
% Nokia Corporation - initial contribution.
%
% Contributors:
%
% Description: 
4E1F ; [.4F76.0000.0007.4E1F] % ÅG
4E52 ; [.4F77.0000.0007.4E52] % ∆π
4E53 ; [.4F78.0000.0007.4E53] % ≈“
4E69 ; [.4F79.0000.0007.4E69] % ÿ¿
4E99 ; [.4F7A.0000.0007.4E99] % ÅÉ
4EA4 ; [.4F7B.0000.0007.4EA4] % Ωª
4EA5 ; [.4F7C.0000.0007.4EA5] % ∫•
4EA6 ; [.4F7D.0000.0007.4EA6] % “‡
4EF0 ; [.4F7E.0000.0007.4EF0] % —ˆ
4EF1 ; [.4F7F.0000.0007.4EF1] % Å§
4EF2 ; [.4F80.0000.0007.4EF2] % ÷Ÿ
4EF3 ; [.4F81.0000.0007.4EF3] % ÿÚ
4EF4 ; [.4F82.0000.0007.4EF4] % Å•
4EF5 ; [.4F83.0000.0007.4EF5] % ÿı
4EF6 ; [.4F84.0000.0007.4EF6] % º˛
4EF7 ; [.4F85.0000.0007.4EF7] % º€
4EFB ; [.4F86.0000.0007.4EFB] % »Œ
4EFD ; [.4F87.0000.0007.4EFD] % ∑›
4EFF ; [.4F88.0000.0007.4EFF] % ∑¬
4F00 ; [.4F89.0000.0007.4F00] % Å´
4F01 ; [.4F8A.0000.0007.4F01] % ∆Û
4F02 ; [.4F8B.0000.0007.4F02] % Å¨
4F04 ; [.4F8C.0000.0007.4F04] % ÅÆ
4F05 ; [.4F8D.0000.0007.4F05] % ÅØ
4F08 ; [.4F8E.0000.0007.4F08] % Å≤
4F09 ; [.4F8F.0000.0007.4F09] % ÿ¯
4F0A ; [.4F90.0000.0007.4F0A] % “¡
4F0B ; [.4F91.0000.0007.4F0B] % Å≥
4F0D ; [.4F92.0000.0007.4F0D] % ŒÈ
4F0E ; [.4F93.0000.0007.4F0E] % ºø
4F0F ; [.4F94.0000.0007.4F0F] % ∑¸
4F10 ; [.4F95.0000.0007.4F10] % ∑•
4F11 ; [.4F96.0000.0007.4F11] % –›
4F12 ; [.4F97.0000.0007.4F12] % Åµ
4F13 ; [.4F98.0000.0007.4F13] % Å∂
4F14 ; [.4F99.0000.0007.4F14] % Å∑
4F15 ; [.4F9A.0000.0007.4F15] % Å∏
4F18 ; [.4F9B.0000.0007.4F18] % ”≈
4F19 ; [.4F9C.0000.0007.4F19] % ªÔ
4F1D ; [.4F9D.0000.0007.4F1D] % Åª
4F22 ; [.4F9E.0000.0007.4F22] % ÿÛ
4F2C ; [.4F9F.0000.0007.4F2C] % Å¿
4F62 ; [.4FA0.0000.0007.4F62] % Å⁄
4F64 ; [.4FA1.0000.0007.4F64] % ÿÙ
5145 ; [.4FA2.0000.0007.5145] % ≥‰
5146 ; [.4FA3.0000.0007.5146] % ’◊
5147 ; [.4FA4.0000.0007.5147] % É¥
5148 ; [.4FA5.0000.0007.5148] % œ»
5149 ; [.4FA6.0000.0007.5149] % π‚
5168 ; [.4FA7.0000.0007.5168] % »´
5171 ; [.4FA8.0000.0007.5171] % π≤
518D ; [.4FA9.0000.0007.518D] % ‘Ÿ
51B0 ; [.4FAA.0000.0007.51B0] % ±˘
51B1 ; [.4FAB.0000.0007.51B1] % Ÿ¸
520E ; [.4FAC.0000.0007.520E] % ÿÿ
5210 ; [.4FAD.0000.0007.5210] % Ñ[
5211 ; [.4FAE.0000.0007.5211] % –Ã
5212 ; [.4FAF.0000.0007.5212] % ªÆ
5213 ; [.4FB0.0000.0007.5213] % Ñ\
5216 ; [.4FB1.0000.0007.5216] % Îæ
5217 ; [.4FB2.0000.0007.5217] % ¡–
52A3 ; [.4FB3.0000.0007.52A3] % ¡”
52A6 ; [.4FB4.0000.0007.52A6] % Ñµ
5308 ; [.4FB5.0000.0007.5308] % –Ÿ
531F ; [.4FB6.0000.0007.531F] % ÖH
5320 ; [.4FB7.0000.0007.5320] % Ω≥
5321 ; [.4FB8.0000.0007.5321] % øÔ
5322 ; [.4FB9.0000.0007.5322] % ÖI
5370 ; [.4FBA.0000.0007.5370] % ”°
5371 ; [.4FBB.0000.0007.5371] % Œ£
538A ; [.4FBC.0000.0007.538A] % Ö|
5401 ; [.4FBD.0000.0007.5401] % ”ı
5403 ; [.4FBE.0000.0007.5403] % ≥‘
5404 ; [.4FBF.0000.0007.5404] % ∏˜
5406 ; [.4FC0.0000.0007.5406] % ﬂ∫
5407 ; [.4FC1.0000.0007.5407] % Öª
5408 ; [.4FC2.0000.0007.5408] % ∫œ
5409 ; [.4FC3.0000.0007.5409] % º™
540A ; [.4FC4.0000.0007.540A] % µı
540B ; [.4FC5.0000.0007.540B] % Öº
540C ; [.4FC6.0000.0007.540C] % Õ¨
540D ; [.4FC7.0000.0007.540D] % √˚
540E ; [.4FC8.0000.0007.540E] % ∫Û
540F ; [.4FC9.0000.0007.540F] % ¿Ù
5410 ; [.4FCA.0000.0007.5410] % Õ¬
5411 ; [.4FCB.0000.0007.5411] % œÚ
5412 ; [.4FCC.0000.0007.5412] % ﬂ∏
56DD ; [.4FCD.0000.0007.56DD] % ‡Ó
56DE ; [.4FCE.0000.0007.56DE] % ªÿ
56DF ; [.4FCF.0000.0007.56DF] % ÿ∂
56E0 ; [.4FD0.0000.0007.56E0] % “Ú
56E1 ; [.4FD1.0000.0007.56E1] % ‡Ô
